id,filename,speaker,tags,transcription
291,DEKE%20DOTEM-DANNY%20MAC.mp3,dan mac,"deke dotem, danny mac, fsnmw, freedotem",so best wishes to Mr. Dotem
292,DEKE%20DOTEM-LARRY.mp3,larry nickel,deke dotem larry,deke dotem!
293,DEKE%20DOTEM.mp3,mike lee,deke dotem mike lee,deke dotem
294,DEKEY%20DOTEM-TIMBERFAKE.mp3,timberfake,"deke dotem, dekey, timberfake, freedotem","so whos dekey dotem , I don't get that"
295,DICKENS.wav,unknown man,dickens,like the dickens
296,DIFFERENCE%20A%20WEEK.wav,jeff fischer,"jeff fischer, rams",completely different what a week makes
297,DIME%20BAGS.wav,plowboy,"dime bags, plowboy, weed",no dime bags being thrown out
298,DIN-DIN.wav,willy,"dinner, din din, willy",din din
299,DING%20DING%20DING-RICH.mp3,Rich from Maryland Heights,"rich, ding",ding ding ding ding ding
300,DIRTY%20LEMMING.mp3,cat,"lemming, cat",you dirty lemming
301,DIRTY%20UP.wav,tim,dirty,what you do is you dirty up the place
302,"DISAPPOINT,%20DOUG.mp3",janie the lesbian,disappoint,sorry to disappoint doug
303,DISGUSTING%20HUMAN%20BEING.wav,tim,"disgusting, hideous ",I mean what a horribly hideous human being I am
304,DIVA.wav,plowyboy,"diva, plowboy","like I was a diva, ya know?"
305,DNA%20ON%20YOUR%20CHEST.wav,tim,"dna, chest",DNA on your chest
306,DO%20FIT%20CHICK-LARRY.mp3,larry,"fitchick, larry",well I'ma try to do fitchick
307,DO%20IT%20DOUG-LARRY.mp3,larry,"larry, doug, do it",do it doug
308,DO%20IT.wav,arnold schwarzenegger,do it,do it!
309,DOESNT%20MATTER%20WHAT%20YOU%20SAY-LARRY.mp3,larry,doesn't matter,doesn't matter what you say!
310,"DOG%20FIGHT,%20BLOOD%20BATH.wav",Rich from Maryland Heights,"dogfight, blood bath","it's going to be a dog fight, it's going to be a blood bath"
311,DOGGYSTYLE-LARRY.mp3,larry,"doggystyle, larry",get it done doggystyle
312,DOING%20SHOW%20PREP.mp3,larry,"larry, show prep",im doing show prep
313,DOLPHIN.wav,tim,"dolphin, laugh",*tim dolphin cackle*
314,DON'T%20GOT%20CHOPS.mp3,charlie,"charlie, chops","yea, you don't got the chops"
315,DON'T%20LIKE%20THE%20WHITES.mp3,tim,whites,I don't like the whites
316,DON'T%20PEE.mp3,willy,pee,"you don't want to pee either, they can smell the human pee"
317,DON'T%20TOUCH%20IT.mp3,doug,touch,don't touch it
318,DONE%20JIM.wav,unknown man,jim,I'm done Jim!
319,DONT%20CARE%20ABOUT%20HER.mp3,unknown man,care,yea I don't care about her
320,DONT%20CARE-MO.mp3,mo,john mozeliak,"back it up a bit, don't really care"
321,DONT%20CARE.wav,doug,"doug, care","we don't care, we really don't care what you want!"
322,DONT%20GET%20ME%20STARTED-LARRY.mp3,larry,"doug, started","doug, don't get me started!"
323,DONT%20GO%20TO%20PHONE%20LINES.mp3,tim,phones,doug should I not go to the phones anymore?
324,DONT%20HAVE%20COPY.mp3,plowboy,"copy, plowboy",sorry tim I don't have the copy in front of me
325,DONT%20KNOW.wav,unknown woman,know,I don't wanna know
326,DONT%20MESS%20WITH%20ME.wav,Rich from Maryland Heights,"rich, mess",don't mess with me
327,DONT%20NEED%20FRIED%20CHICKEN-JOE%20ROD.mp3,Joe Roderick,"joe roderick, chicken",I don't need fried chicken
328,DONT%20TALK%20ABOUT%20MY%20MOTHER.wav,plowboy,"plowboy, mother","thats a little overboard, you can say you can rub honey all over my body, but don't talk about my mother"
329,DONT%20TELL%20US.wav,doug,tell,don't tell us what to do
330,DONT%20U%20KNOW.wav,unknown man,"cat, know","what do you think cat, don't you know anything?"
331,DONT%20USE%20HOOK.mp3,weezer,fish hook weezer,don't use a fish hook
332,DONT%20WORRY%20DOUG.mp3,big al,"doug, worry",don't you worry about it doug
333,DOOR%20SICK%20BIG%20MAN.wav,john lackey,"sick, big man, lackey",sick big man mashup
334,DOUBLE%20FRY%20FRIES.mp3,tim,double fried fries french sfw,they double fry them fries for ya
335,DOUBLE%20SIDED%20DILDO.mp3,tim,dildo,double sided dildo
336,DOUG%20=%20BLUSH.mp3,cat,blush,and doug made himself blush with that
337,DOUG%20BITCHING%20ABOUT%20JOB.mp3,caller adam,"bitching, job","hey doug, everyone is tired if you bitching about your job"
338,DOUG%20BONDAGE%20CAVE.wav,dennis hof,"dennis hof, bondage cage doug","what about doug, was he in the bondage cage?"
339,DOUG%20BREAST%20FEEDS-CAT.mp3,cat,"breast feeding, child","at what age did you stop breast feeding your children, doug?"
340,DOUG%20BROUGHT%20IT.wav,unknown man,stronger brought,doug brought it stronger
341,DOUG%20DAMNIT.wav,tim,dammit,aw doug dammit
342,DOUG%20DOES%20NOTHING.mp3,paul from wc,"paul, do nothing",you will put down all these professions when you do nothing
343,DOUG%20FOR%20REALZ.mp3,tim,for real,"doug, for the reals though is what you were saying during the commercial break"
344,DOUG%20FULL%20OF%20IT.mp3,charlie,full of it,doug you're full of it
345,DOUG%20GETS%20ROUGH.mp3,tim,"rough, mattress, sex","the temperpedic is a great mattress, it's supported me and doug all night, and we get rough"
346,DOUG%20HANDS.wav,unknown woman,hands,"doug, you need to keep your hands to yourself"
347,DOUG%20HAS%20DANDRUFF.mp3,charlie,"charlie, dandruff",isnt it embarasing when hot girls are massing your scalp and you get the dandruff everywhere
348,DOUG%20I%20LIKE%20YOU.mp3,cat,"cat, like","doug, I like you!"
349,DOUG%20I'M%20HOT.mp3,unknown man,hot,"hey doug, I'm hot"
350,DOUG%20IS%20HOT-JACKIE.mp3,jackie,"jackie, hot",doug is hot anyway
351,DOUG%20IS%20HOT.wav,cat,"doug, hot, cat",I think doug is hot
352,DOUG%20IS%20OLD.mp3,caller adam,"old, adam",doug you're so freaking old
353,DOUG%20IS%20PRO%20COCK.mp3,tim,caulk,doug is pro caulk
354,DOUG%20IS%20RIGHT.mp3,unknown man,right,guys like me and doug are right
355,DOUG%20IS%20TOAST%20OF%20TOWN.mp3,caller adam,"adam, toast, kmov",oh big guy has some special segment on channel 4 and he's the toast of the town now!
356,DOUG%20MADE%20ME%20SMILE-TIMBERFAKE.mp3,timberfake,"timberfake, smile",you make me smile today doug
357,DOUG%20MY%20HERO.wav,unknown man,hero,doug's my hero
358,DOUG%20NAUGHTY.mp3,mike lee,"naughty, mike lee, boy",hey doug you a naughty boy
359,DOUG%20NOT%20RAVIOLI%20HEAD.mp3,larry nickel,"larry, ravioli head",doug is not a ravioli head
360,DOUG%20ON%20HIS%20GAME.wav,joe strauss,strauss,I can tell doug is on his game today
361,DOUG%20SAID%20IT.wav,cat,doug,doug said it
362,DOUG%20SATISFIED.mp3,prodjoe,old man,if the old man is satisfied everything is just fine
363,DOUG%20SCREAMING%20NAME.mp3,unknown man,scream,dougie I love it when you scream my name baby
364,DOUG%20SHUT%20UP-LARRY.mp3,larry,shut up doug,doug doug shut up!
365,DOUG%20SHUT%20YOUR%20PIE%20HOLE.mp3,charlie,pie hole doug,doug why don't you shut your pie hole
366,DOUG%20STOP%20BEING%20NERVOUS.mp3,unknown woman,nervous woman,doug stop being nervous
367,DOUG%20STOP%20WEARING%20MOM%20JEANS.mp3,fit chick,fit chick mom jeans,doug you have a nice rear end but stop wearing those mom jeans
368,DOUG%20SUCK%20IT.mp3,unknown man,suck it,"doug, suck it"
369,DOUG%20THIS%20IS%20SO%20HOT-TIM.mp3,tim,hot ,"doug, this is so hot"
370,DOUG%20VAUGHN%20TOP%20JOURNALIST.mp3,unknown man,top journalist,you know I respect mr vaughn as a top journalist in the world
371,DOUG%20WHATS%20WRONG%20WITH%20YOU.mp3,caller ellen,wrong ellen,oh my lord doug what is wrong with you
372,DOUG%20WILL%20BE%20IN%20ME%20CHAMBERS.mp3,tim,chambers,doug you'll be in me chambers
373,DOUG%20WRONG.wav,unknown woman,wrong vaughn,doug vaughn is doug wrong
374,DOUG%20YOU%20PLAYING%20FOOTSIE%20WITH%20ME.wav,charlie,footsie,doug are you playing footsie with me?
375,DOUG%20YOU'RE%20RIGHT-GOOLD.mp3,derrick goold,goold right,doug you're right
376,DOUG'S%20A%20BULL.mp3,jimmy the bull,jimmy the bull ,doug's a bull
377,DOUG'S%20A%20LIVE%20180.mp3,tim,lithe weight,doug's a lithe buck eighty
378,DOUG'S%20DUMBASS%20(MIKE%20LEE).mp3,mike lee,mike lee dumbass,hey doug you a dumbass!
379,DOUG'S%20FANTASTIC-GOOLD.mp3,derrick goold,goold fantastic ,doug I think you're fantastic at what you do
380,DOUG'S%20GUY.mp3,tim,guy,"wow, that's doug's guy"
381,DOUG'S%20THE%20WINNER.mp3,unknown woman,winner,Doug's the winner
382,"DOUG,%20AH%20YES.mp3",tim,ah yes,"Doug ah yes, doug"
383,"DOUG,%20DON'T%20CONFORM.mp3",charlie,conform charlie,"Doug, I don't conform"
384,"DOUG,%20GOOD%20LUCK.mp3",unknown man,good luck,Doug I just want to wish you good luck
385,"DOUG,%20LOVE%20'EM%20UP.mp3",tim,love ,"Doug, love em up"
386,"DOUG,%20SAY%20SOMETHING.mp3",charlie,say something,Doug in the meantime why don't you say something
387,DOUGLOOSENUP.wav,alpena,loosen up,doug loosen up a little bit
388,DOUGRELAX.wav,alpena,relax,"Doug, relax"
389,DOUGS%20A%20PREDATOR.mp3,charlie,charlie predator,Doug's a predator
390,DOUGS%20AGGRESIVE.mp3,timberfake,aggressive,Doug you're so aggressive
391,DOUGS%20ASS-JAY%20JR.mp3,jay jr,doug's ass,Is Doug's ass as good as people say
392,DOUGS%20BUTT%20IS%20A%2010.mp3,plowboy,plowboy butt dime,Doug's is the 10 and is the scale you judge other butts off of
393,DOUGS%20DOOSIE.wav,cat,cat doosie,Doug's doosie
394,DOUGS%20NICE%20BUTT.mp3,unknown man,butt,Doug ya got a nice butt!
395,DOUGS%20PANTS-CAT.mp3,cat,cat pants,I don't remember putting Doug's pants on this morning
396,DOUGS%20REFUGEE.wav,cat,refugee boy dungeon basement,It's like you're a refugee from Doug's basement!
397,DOWN%20TO%20BANG.mp3,tim,bang,You know they're down to bang!
398,DREDGED.wav,unknown woman,dredged bacon syrup,Have you ever kind of dredged the bacon through the syrup
399,DRESS%20EROTIC.mp3,unknown man,dress erotically ,I always dress erotically
400,DRINK%20BEER-GET%20BOOTY.mp3,timberfake,timberfake sexy coffee booty beer,I drink sexy coffee drink beers and get booties
401,DRINKS%20FROM%20TIT.mp3,unknown man,tit teet milk,she drinks from the teet
402,DRIP%20ON%20THE%20NIP.mp3,tim,nipple drip,sometimes a little drippin will get on my left nipple and ill go oh look
403,DRIPPING%20IN%20SEX.mp3,tim,sex taste,doug youre dripping in sex can I taste it
404,DROP%20IT%20LIKE%20ITS%20HOT.wav,larry,drop it like its hot ,yea you have to drop it like its hot doug
405,DROP%20LOADS%20LIKE%20IGGY-TIMBERFAKE.mp3,timberfake,loads timberfake iggy,hey I don’t drop loads I drop kenny strodes on em
406,"DRUNK,%20HAMMERED.mp3",doug,drunk hammered,we were drunk we were hammered
407,DRY%20RUB.wav,jeff abeln,dry rub,youre a gentleman who enjoys a nice dry rub every once in awhile
408,DUCK%20BUTTER.wav,cat,duck butter,what is duck butter
409,DUDE%20IS%20A%20FRUIT-TIMBERFAKE.mp3,timberfake,fruit timberfake,"the dudes a fruit, man"
410,DUDES%20DIG%20ME.mp3,unknown woman,dudes dig,a lot of dudes dig me
411,DUE%20TO%20GIRTH.wav,unknown man,girth,due to his girth
412,DUH-TIMBERFAKE.mp3,timberfake,duh,duh
413,DULL%20DOUG.wav,rudy,dull rudy,doug sounds kind of dull
414,DUMBASS%20TEXT.mp3,jay jr,text dumb,read this dumb ass text
415,EACH%20PREROGATIVE.mp3,larry nickel,prerogative,well that each persons prerogative
416,EARNER.wav,cat,earner jhe cat,for awhile he was a good earner
417,EASIER%20WITH%20GUY.wav,willy,easier gentleman,is it easier with a gentleman
418,EDMONDS%20NAKED%20BODIES.wav,edmonds,naked bodies edmonds,naked bodies
419,ELEVATOR.mp3,doug,elevator ahyes ,elevator elevator it goes up it goes down ah yes elevator
420,ELITE%20SEED.mp3,unknown woman,seed cougar,just plowing through a bunch of dried up women in their late 30s who need some elite seed
421,EMILLIO%20ESTEVEZ%20IS%20HOT-CAT.mp3,cat,emilio estevez cute ,boy that emilio estevez if I werent straight I would go for him
422,EMOTIONAL%20FAN.mp3,caller adam,emotional adam,heaven forbid I would be excited or upset that my team was either losing or winning
423,EMPLOYEES%20=%20BABY.mp3,tim,employees baby,I call all of my employees baby because I think its right
424,ENJOY%20FRIENDLY'S%20FRIED%20CHICKEN-TIMBERFAKE.mp3,timberfake,friendlys fried chicken timberfake,yo I do like that friendlys chicken though
425,ENJOY%20LEGS%20N%20BUTTS%20ALOT.mp3,janie the lesbian,legs butts janie lesbian,I enjoy legs and butts a lot
426,ENJOY%20STRONG%20HANDS.wav,doug,gentleman strong hands,I thought you enjoyed a gentleman with strong hands
427,ENJOYS%20DABLING.mp3,tim,dabbling lesbian,well maybe the enjoys dabbling
428,ENTERTAINING%20STUFF.wav,joe strauss,wildly entertaining strauss sfw,wildy entertaining stuff guys
429,ENTERTAINING%20THE%20CITY.mp3,andy hanselman,joe roderick entertain,joe roderick entertaining the city
430,ESPANOL.mp3,cat,spanish,como gritas ejo boop
431,EVERYBODY%20F'ING.wav,tim,erbody ,erbody effin haha 
432,EVERYTHING%20HE%20DOES%20IS%20COOL.mp3,cat,cool,everything this guy does is cool
433,EWW.mp3,tim,eww,eww
434,EXACTLY.wav,unknown man,exactly,exactly
435,EXPLOSION.wav,sound effect,explosion,explosion 
436,EXTRA%20TIGHT.mp3,plowboy,tight plowboy,I like em extra tight
437,EYELIDS%20SEEPING.wav,plowboy,eyelids,eyelids are seeping below the normal
438,EYES%20=%20FRIES.wav,cat,fries cat,I can look into a mans eyes and know what kind of fries he likes
439,F%20ME.wav,tim,f me,f me
440,FACEBAT-LARRY.mp3,larry nickel,facebat larry,via the facebat
441,FACEBOOK%20FRIENDS%20ARE%20STUPID.mp3,charlie,facebook friends stupid charlie,facebook friends are stupid
442,FACEBOOK%20TWITTER.wav,larry,twitter facebook larry,im a good follow on twitter im a good follow on facebook
443,FALL%20TIME%20(PITINO).wav,rick pitino,fall time pitino,fall time is here
444,FAMILY%20PROUD.wav,tim,family proud,ah my familys proud
445,FAN%20OF%20EVERYTHING.wav,weezer,fan weezer,im a fan of everything
446,FAN%20OF%20THE%20CAT.mp3,unknown man,fan of the cat ,im a big fan of jimmy the cat hayes
447,FANCIFUL%20DEPICTION.wav,tim,fanciful depiction,fanciful depiction
448,FANCY%20CUTS.wav,jeff abeln,fancy cuts,fancy cuts
449,FANCY%20LAD.mp3,tim,fancy lad,well im a fancy lad
450,FANTASTIC%20SCENERY.mp3,plowboy,plowboy fantastic scenery pony,it is fantastic scenery out there
451,FANTASY%20TEAM.mp3,joe strauss,fantasy strauss ,well I don't care hes on my fantasy team
452,FAT%20KIDS%20BELLY%20JIGGLING.mp3,charlie,fat kid belly jiggling charlie,isnt it funny to see a fat kid with his belly jiggling
453,FEEL%20ENTITLED.wav,unknown man,entitled,well I feel entitled 
454,FEEL%20GOOD%20HAHA.wav,unknown man,feel good,I feel good haha
455,FEEL%20SEDUCTIVE.mp3,tim,seductive,do you guys feel seductive 
456,FEELING%20HOT.wav,willy,willy hot,im feeling hot tonight dolly
457,FEW%20POSITIONS.wav,willy,positions,I was in a few positions
458,FFF.wav,denny,foot fetish Friday fff,a foot fetish Friday
459,FIFA%20FIFA.wav,prodjoe,fifa soccer joe,fifa fifa
460,FIGHT%20FOR%20ME%20BOYS.mp3,tim,fight boys,fight for me boys
461,FILTHY%20LEMMING.mp3,cat,filthy lemming,you disgustingly filthy lemming
462,FINALLY%20A%20GOOD%20QUESTION.mp3,doug,good question,finally we ask a good question
463,FINE%20PRESENTATION.wav,larry nickel,fine presentation larry,this show is a fine presentation
464,FINE%20WITH%20ME.wav,tim,fine with me,fine with me
465,FINGER%20IN%20A%20DYKE.mp3,tim,finger dyke,finger in the dyke
466,FINGER%20IN%20CHESTS.mp3,tim,finger in chests,I like to put my finger in chests
467,FINISH%20ON%20MY%20FACE.mp3,unknown man,finish on face,tim finished on my face
468,FINNA%20BE%20RICH.wav,tim,finna be rich,we finna be rich
469,FINNA%20BE%20TURNED.mp3,tim,finna be turned,someone finna be turned
470,FIRST%20IMPRESSION%20ROSE.mp3,doug,bachelorette first impression rose,do you know how emotional it is when a girl gives a guy a first impression rose
471,FISCAL%20SENSE.mp3,charlie,fiscal sense,that’s why it makes fiscal sense
472,FLIP%20SWITCH.wav,charlie,flip switch,flip the switch
473,FLOUNCE%20WITH%20ME.mp3,tim,flounce bounce with me,flounce with me
474,FLUBBED%20UP.wav,plowboy,flubbed up,I flubbed up
475,FM%20RADIO-CALLER%20ADAM.mp3,caller adam,fm adam,I cannot believe this is on fm now
476,FOLLOW%20CAT%20ON%20TWITTER.mp3,larry nickel,cat twitter larry,you can follow the cat on twitter at the cat on fox
477,FOOT%20FETISH-JAY%20JR.mp3,jay jr,foot fetish jay,people think that sometimes I have a foot fetish
478,FOR%20REAL.wav,unknown man,real,for real
479,FOR%20REALSIES.wav,willy,realsies,for realsies
480,FORCED%20THIS%20DOWN%20HER%20THROAT.wav,plowboy,forced down throat,its like I just forced this down her throat
481,FOUR%20INCHES.mp3,jeff abeln,four inches abeln,what about four inches
482,FOURSOME.mp3,charlie,foursome,we had a foursome
483,FOX%202=PHD.mp3,charlie,fox phd journalism,don’t you think working for the 2 fox is more prestigious than getting a phd
484,FRANK%20HIT%20ON%20ME.mp3,unknown man,frank,franks been in before hes hit on me
485,FRANK%20HOW%20ARE%20YOU-KROENKE.mp3,stan kroenke,frank kroenke ,frank how are you today
486,FRANK%20THINKING%20OF%20RENE.mp3,frank cusumano,frank rene,ooh gosh that’s sick im thinking of Rene right now
487,FRANK%20THOMAS%20METS.wav,Frank Thomas,mets frank thomas world series,mets have nothing to hold their heads down for except they didn’t play that well and they gave away this world series
488,FRANK%20UP%20NEXT.mp3,tim,frank,franks up next
489,FRANK-DOUG%20SMALL%20JOHNSON.mp3,frank cusumano,frank ego johnson,frank would you say this statement is accurate big ego small johnson I cant confirm nor deny
490,FRANK-GAY%20PORN.mp3,frank cusumano,gay porn frank,this looks like gay porn here
491,FRANKS%20TESTICLE.mp3,frank cusumano,frank left testicle,what if I had my left testicle out and I was handing you a beer
492,FRAUD.mp3,unknown man,fraud,youre a fraud
493,FREAKS%20ROLL%20WITH%20ME.mp3,tim,freak roll with me,ay if you roll with me you gotta be a freak
494,FREE%20DOTEM-HRABE.mp3,chris hrabe,hrabe free dotem,free dotem
495,FREE%20DOTEM-VASGERSIAN.mp3,matt vasgersion,free dotem vasgersian,good talking to you guys free dotem
496,FREE%20DOTEM.mp3,unknown man,free dotem,free dotem
497,FREE%20SPEECH%20N%20BOOZE.mp3,clay travis,clay travis boobs,I love two things the first amendment and boobs
498,FRESH%20MEAT.mp3,tim,fresh meat,how sweet fresh meat
499,FRIES%20BEFORE%20GUYS.mp3,tim,fries guys,fries before guys
500,FRIES%20N%20GRAVY.wav,cal may,french fries gravy,your french fries and gravy sir
501,FRIES.wav,unknown man,waffle fries sfw,what about the waffle fries?
502,FRIES=SEXY%20YEILD.mp3,timberfake,sexy yield fries timberfake,my fries have sexy yield by the way
503,FRISKY%20LESBO.mp3,jay jr,frisky lesbo jay,shes a frisky lesbo
504,FROTHY.mp3,unknown man,frothy,im frothy today
505,"FRUITIEST,%20CHEWIEST.mp3",plowboy,fruity chewy,theyre the fruitiest and the chewiest
506,FRUITIEST.mp3,cat,fruitiest ,well I think you’re the fruitiest
507,FRY%20CONNOISSEUR.wav,unknown woman,fry connoisseur,I consider myself a fry connoisseur
508,FRY%20KNOWLEDGE.wav,cat,fry knowledge,are you at all impressed at all by our fry knowledge
509,FRY%20OR%20BROWN%20EYE.mp3,unknown man,fry brown eye,would you rather eat a fry or my brown eye
510,FUGLY%20DORK.mp3,tim,fugly dork chicken,you’re a fugly dork that steals chicken
511,FULL%20MAST.mp3,joe roderick,full mast roderick,joe doesn’t even have me at full mast
512,FUNNIN'.wav,cat,funnin ,I was just funnin
513,FUNNY%20IS%20GOOD.mp3,cat,funny is good,funny is good
514,Fixings.wav,kenny powers,fixings kenny powers,oooo were gonna have a lot of fixins
515,GAMBLE%20AND%20BOOZE-CHARLIE.mp3,charlie,gamble and booze charlie,ya gotta gamble and booze
516,GAME%20PLAN.wav,unknown man,game plan,it actually comes down to the game plan
517,GANGBANG.mp3,jay jr,gang bang jay,sounds like a gang bang to me
518,GANGED%20UP%20ON.mp3,charlie,ganged up,ive been the one whos been ganged up on
519,GANGSTER.wav,doug,gangster ,I don’t think its that gangster
520,GANJA%20GARDEN%20GURU.mp3,cat,ganja garden guru,ganja garden guru
521,GARBAGE.wav,unknown man,garbage,this is garbage
522,GARY%20PINKEL.wav,gary pinkel,gary pinkel,ok guys thank you
523,GAY%20DAUGHTER-ADAM.mp3,caller adam,daughter gay adam lesbian,I don’t care if my daughter is gay
524,GAY%20FOR%20DOUG.mp3,ray king,gay ray king,im gay for doug
525,GAY%20N%20STRAIGHT.mp3,cat,gay straight cat,hes fine with being gay except he happens to be straight
526,GAY%20ON%20AIR.mp3,timberfake,timberfake gay on air,can I say gay on air
527,GAY%20PAGE-TIMBERFAKE.mp3,timberfake,timberfake gay page,put em on your little gay page
528,GAY%20PORN.mp3,tim,porn gay,like sometimes I wanna watch gay porn sometimes I wanna watch straight porn ok fine
529,GAY%20SEX%20IS%20FUN.mp3,tim,gay sex,gay sex is fun
530,GAY%20SEX.mp3,tim,gay sex,just for the gay sex
531,GENDER%20TRANSFORMATION.mp3,doug,gender transformation tranny,is this the first step towards gender transformation
532,GENERAL%20TSO'S.mp3,willy,general tso,general tso general tao
533,GENIUSES.wav,unknown man,genius,hey geniuses 
534,GENTLEMAN%20AND%20DOUG.mp3,unknown woman,hello,hello gentleman and doug
535,GENTLEMAN.wav,weezer,gentleman,im a gentleman
536,GENTLEMANS%20LOVE.mp3,tim,gentlemans love,I will see a gentlemans love
537,GET%20A%20COUGAR.wav,willy,cougar willy,it is the place you want to be to get yourself a cougar
538,GET%20A%20LIFE.wav,natty nate,natty nate get a life,get a life dude
539,GET%20A%20NEW%20SHTICK-ADAM.mp3,caller adam,schtick adam,get a new schtick idiot
540,GET%20ANY%20GIRL%20I%20WANT.mp3,timberfake,playbaby girl timberfake,im the playbaby I get any girl I want
541,GET%20CERTIFIED.mp3,tim,certified,lets get certified baby
542,GET%20DRUNK-LARRY.wav,larry nickel,drunk larry,uh get drunk
543,,,,
544,,,,
545,,,,
546,,,,
547,,,,
548,,,,
549,,,,
550,,,,
551,,,,
552,,,,
553,,,,
554,,,,
555,,,,
556,,,,
557,,,,
558,,,,
559,,,,
560,,,,
561,,,,
562,,,,
563,,,,
564,,,,
565,,,,
566,,,,
567,,,,
568,,,,
569,,,,
570,,,,
571,,,,
572,,,,
573,,,,
574,,,,
575,,,,
576,,,,
577,,,,
578,,,,
579,,,,
580,,,,
581,,,,
582,,,,
583,,,,
584,,,,
585,,,,
586,,,,
587,,,,
588,,,,
589,,,,
590,,,,
591,,,,
592,,,,
593,,,,
594,,,,
595,,,,
596,,,,
597,,,,
598,,,,
599,,,,
600,,,,
601,,,,
602,,,,
603,,,,
604,,,,
605,,,,
606,,,,
607,,,,
608,,,,
609,,,,
610,,,,
611,,,,
612,,,,
613,,,,
614,,,,
615,,,,
616,,,,
617,,,,
618,,,,
619,,,,
620,,,,
621,,,,
622,,,,
623,,,,
624,,,,
625,,,,
626,,,,
627,,,,
628,,,,
629,,,,
630,,,,
631,,,,
632,,,,
633,,,,
634,,,,
635,,,,
636,,,,
637,,,,
638,,,,
639,,,,
640,,,,
641,,,,
642,,,,
643,,,,
644,,,,
645,,,,
646,,,,
647,,,,
648,,,,
649,,,,
650,,,,
651,,,,
652,,,,
653,,,,
654,,,,
655,,,,
656,,,,
657,,,,
658,,,,
659,,,,
660,,,,
661,,,,
662,,,,
663,,,,
664,,,,
665,,,,
666,,,,
667,,,,
668,,,,
669,,,,
670,,,,
671,,,,
672,,,,
673,,,,
674,,,,
675,,,,
676,,,,
677,,,,
678,,,,
679,,,,
680,,,,
681,,,,
682,,,,
683,,,,
684,,,,
685,,,,
686,,,,
687,,,,
688,,,,
689,,,,
690,,,,
691,,,,
692,,,,
693,,,,
694,,,,
695,,,,
696,,,,
697,,,,
698,,,,
699,,,,
700,,,,
701,,,,
702,,,,
703,,,,
704,,,,
705,,,,
706,,,,
707,,,,
708,,,,
709,,,,
710,,,,
711,,,,
712,,,,
713,,,,
714,,,,
715,,,,
716,,,,
717,,,,
718,,,,
719,,,,
720,,,,
721,,,,
722,,,,
723,,,,
724,,,,
725,,,,
726,,,,
727,,,,
728,,,,
729,,,,
730,,,,
731,,,,
732,,,,
733,,,,
734,,,,
735,,,,
736,,,,
737,,,,
738,,,,
739,,,,
740,,,,
741,,,,
742,,,,
743,,,,
744,,,,
745,,,,
746,,,,
747,,,,
748,,,,
749,,,,
750,,,,
751,,,,
752,,,,
753,,,,
754,,,,
755,,,,
756,,,,
757,,,,
758,,,,
759,,,,
760,,,,
761,,,,
762,,,,
763,,,,
764,,,,
765,,,,
766,,,,
767,,,,
768,,,,
769,,,,
770,,,,
771,,,,
772,,,,
773,,,,
774,,,,
775,,,,
776,,,,
777,,,,
778,,,,
779,,,,
780,,,,
781,,,,
782,,,,
783,,,,
784,,,,
785,,,,
786,,,,
787,,,,
788,,,,
789,,,,
790,,,,
791,,,,
792,,,,
793,,,,
794,,,,
795,,,,
796,,,,
797,,,,
798,,,,
799,,,,
800,,,,
801,,,,
802,,,,
803,,,,
804,,,,
805,,,,
806,,,,
807,,,,
808,,,,
809,,,,
810,,,,
811,,,,
812,,,,
813,,,,
814,,,,
815,,,,
816,,,,
817,,,,
818,,,,
819,,,,
820,,,,
821,,,,
822,,,,
823,,,,
824,,,,
825,,,,
826,,,,
827,,,,
828,,,,
829,,,,
830,,,,
831,,,,
832,,,,
833,,,,
834,,,,
835,,,,
836,,,,
837,,,,
838,,,,
839,,,,
840,,,,
841,,,,
842,,,,
843,,,,
844,,,,
845,,,,
846,,,,
847,,,,
848,,,,
849,,,,
850,,,,
851,,,,
852,,,,
853,,,,
854,,,,
855,,,,
856,,,,
857,,,,
858,,,,
859,,,,
860,,,,
861,,,,
862,,,,
863,,,,
864,,,,
865,,,,
866,,,,
867,,,,
868,,,,
869,,,,
870,,,,
871,,,,
872,,,,
873,,,,
874,,,,
875,,,,
876,,,,
877,,,,
878,,,,
879,,,,
880,,,,
881,,,,
882,,,,
883,,,,
884,,,,
885,,,,
886,,,,
887,,,,
888,,,,
889,,,,
890,,,,
891,,,,
892,,,,
893,,,,
894,,,,
895,,,,
896,,,,
897,,,,
898,,,,
899,,,,
900,,,,
901,,,,
902,,,,
903,,,,
904,,,,
905,,,,
906,,,,
907,,,,
908,,,,
909,,,,
910,,,,
911,,,,
912,,,,
913,,,,
914,,,,
915,,,,
916,,,,
917,,,,
918,,,,
919,,,,
920,,,,
921,,,,
922,,,,
923,,,,
924,,,,
925,,,,
926,,,,
927,,,,
928,,,,
929,,,,
930,,,,
931,,,,
932,,,,
933,,,,
934,,,,
935,,,,
936,,,,
937,,,,
938,,,,
939,,,,
940,,,,
941,,,,
942,,,,
943,,,,
944,,,,
945,,,,
946,,,,
947,,,,
948,,,,
949,,,,
950,,,,
951,,,,
952,,,,
953,,,,
954,,,,
955,,,,
956,,,,
957,,,,
958,,,,
959,,,,
960,,,,
961,,,,
962,,,,
963,,,,
964,,,,
965,,,,
966,,,,
967,,,,
968,,,,
969,,,,
970,,,,
971,,,,
972,,,,
973,,,,
974,,,,
975,,,,
